5;63
5;53
4;35
3;3
3;10
3;10
3;3
3;10
3;22
3;6
4;33
3;18
4;35
3;14
5;58
5;51
4;35
3;17
4;27
5;51
5;51
5;55
5;51
5;55
5;63
3;7
5;49
5;48
5;45
5;63
3;12
5;54
5;54
5;53
4;42
5;56
5;45
5;58
5;53
5;53
4;36
4;39
4;39
4;42
5;49
3;17
4;30
5;45
3;12
3;20
5;51
5;49
5;55
3;20
5;51
5;54
5;63
5;59
5;58
5;53
5;63
5;51
3;6
4;27
4;42
5;61
4;38
4;42
3;14
4;35
5;51
3;12
4;33
5;48
3;19
4;27
4;35
3;20
3;10
5;58
3;2
5;49
4;39
4;30
4;27
3;18
5;54
5;53
3;12
4;36
5;51
5;48
5;59
4;27
3;22
5;55
5;45
3;17
5;53
5;53
5;54
5;53
5;63
5;63
4;38
5;54
5;54
3;22
4;39
5;54
5;45
5;53
3;3
4;33
5;63
5;51
5;63
4;33
5;63
5;48
5;59
3;12
3;20
3;17
3;14
3;6
4;33
5;53
5;63
5;51
4;36
4;33
4;35
4;27
5;58
4;42
4;37
5;48
5;51
4;39
5;53
4;35
5;51
5;59
5;63
5;53
4;36
3;3
4;42
5;53
4;35
3;15
3;10
3;17
4;27
5;59
4;35
3;6
5;54
4;27
4;35
3;22
3;10
3;14
4;30
4;41
3;22
5;58
5;45
5;63
5;63
4;30
5;54
5;51
5;63
5;53
5;59
3;3
3;10
3;15
5;63
5;51
3;13
5;54
5;45
4;40
3;14
3;18
4;38
3;10
5;61
5;58
5;63
3;10
3;12
5;59
5;51
4;36
5;55
5;51
3;3
5;48
3;12
4;30
3;22
4;42
5;51
3;10
3;22
5;51
5;61
5;59
4;27
5;45
5;63
5;53
5;53
4;42
3;22
5;51
3;20
5;57
3;6
4;42
5;45
4;35
3;18
4;38
5;63
3;22
3;6
5;45
3;15
4;27
4;30
3;6
3;18
3;18
3;3
3;18
3;17
3;6
4;39
3;18
3;18
4;39
5;62
4;42
3;20
4;40
4;42
4;42
4;42
3;15
4;27
3;22
3;6
4;37
4;30
5;53
5;51
3;7
3;22
3;22
4;33
3;10
4;35
3;7
3;14
3;14
3;17
3;18
3;20
3;14
4;33
5;61
3;17
5;60
3;22
3;10
3;15
4;42
4;33
4;35
3;7
3;7
3;14
3;12
4;39
3;17
3;6
3;10
4;35
5;53
4;33
3;3
4;35
3;18
3;10
3;15
3;6
4;36
4;31
5;53
4;38
4;27
4;42
4;28
3;17
3;6
3;3
3;22
3;20
4;42
5;54
4;31
5;47
4;35
5;51
4;36
5;54
4;35
3;20
5;51
3;10
3;18
3;10
3;2
5;53
5;58
3;2
3;15
3;6
3;20
3;3
4;37
3;22
5;49
3;18
3;18
3;7
3;14
3;17
4;35
3;22
3;12
3;6
3;15
3;10
3;17
3;10
3;6
3;22
3;7
3;4
3;10
3;20
3;18
3;12
3;21
3;7
5;46
3;22
3;11
3;15
3;14
3;18
3;12
3;19
4;25
3;16
4;35
4;38
4;42
5;58
3;6
3;14
3;22
5;51
3;15
5;51
4;40
3;18
4;35
5;61
3;10
4;27
5;46
3;20
3;12
3;14
4;39
3;22
4;38
3;10
5;53
5;53
4;35
4;35
3;14
4;30
3;10
3;20
4;36
4;36
3;22
3;6
5;54
4;28
3;14
4;33
4;27
4;33
3;12
3;17
3;5
4;37
3;10
4;42
4;42
4;38
3;22
3;6
4;30
4;35
4;33
3;22
3;12
4;35
3;10
3;3
3;20
3;18
3;15
3;10
3;14
3;14
4;42
3;22
3;10
3;10
3;3
3;21
3;12
3;12
4;42
4;40
4;35
3;3
3;15
4;42
3;6
3;11
4;39
3;10
4;27
3;22
4;38
4;33
5;61
3;12
3;20
3;15
4;39
3;11
4;38
5;45
3;15
3;12
3;6
3;22
3;18
4;40
4;35
5;53
3;12
4;27
4;35
4;36
4;27
4;36
3;22
3;15
3;14
4;27
4;39
3;14
3;11
3;22
4;35
4;30
3;11
3;12
3;12
3;6
3;17
4;27
3;20
3;12
4;38
3;14
3;10
3;10
3;15
5;52
4;42
4;38
4;35
3;20
3;15
3;3
4;27
3;12
4;27
4;38
4;27
3;20
4;30
4;37
4;42
3;15
3;22
3;18
3;3
3;12
4;38
4;28
4;30
3;18
4;37
3;6
3;6
3;6
3;4
4;40
4;38
4;35
3;15
4;39
3;6
4;28
3;17
3;3
4;27
4;37
3;18
3;15
4;39
3;20
4;27
3;18
4;30
4;37
3;21
3;3
4;27
3;3
4;27
4;42
3;3
4;26
3;3
3;3
3;3
4;27
4;27
3;15
4;37
3;3
4;27
4;27
3;22
3;3
3;22
3;15
3;11
5;51
3;12
3;11
3;6
3;12
4;32
5;52
4;42
3;3
5;61
5;49
4;35
4;42
4;27
4;27
3;12
5;51
5;50
4;37
4;31
4;40
4;35
5;54
5;51
3;14
4;39
4;42
3;14
3;6
5;52
5;51
4;36
3;11
3;6
5;45
3;16
4;27
4;28
4;36
4;39
5;53
5;53
3;12
3;17
3;14
4;36
5;55
3;11
5;58
5;48
3;14
3;8
5;52
3;14
3;3
3;23
3;22
4;32
3;18
5;55
3;22
3;4
3;22
5;61
4;35
3;11
5;52
5;52
3;22
5;54
4;44
3;14
3;6
5;46
3;18
5;55
3;7
3;17
4;32
3;14
3;24
3;6
4;33
3;22
3;10
3;9
3;20
4;42
4;38
3;3
4;32
3;20
4;35
5;53
4;39
4;36
4;42
4;39
3;3
2;1
3;22
4;30
5;55
3;17
4;40
3;15
3;12
3;6
4;34
3;14
4;36
3;14
3;22
3;11
5;49
3;14
3;22
4;42
4;42
4;35
3;15
5;51
4;39
3;3
4;34
3;8
4;30
4;35
4;36
3;18
3;14
3;22
3;12
3;12
4;33
4;30
3;3
3;12
3;20
4;35
4;42
3;12
5;45
3;22
3;4
3;11
4;40
5;61
3;22
3;12
4;34
4;39
4;36
4;42
5;45
3;14
4;37
5;51
3;15
